actual,proposed
-0.473034530878067,-0.4705367386341095
-0.4761567711830139,-0.473034530878067
-0.4786545932292938,-0.4761567711830139
-0.48115232586860657,-0.4786545932292938
-0.4836500585079193,-0.48115232586860657
-0.5393638610839844,-0.4836500585079193
-0.5435143709182739,-0.5393638610839844
-0.5462813377380371,-0.5435143709182739
-0.5497400164604187,-0.5462813377380371
-0.5538904070854187,-0.5497400164604187
-0.5959321856498718,-0.5538904070854187
-0.5996295809745789,-0.5959321856498718
-0.6025874018669128,-0.5996295809745789
-0.6062847375869751,-0.6025874018669128
-0.6092424988746643,-0.6062847375869751
-0.6583497524261475,-0.6092424988746643
-0.6615298390388489,-0.6583497524261475
-0.6655048131942749,-0.6615298390388489
-0.6694796681404114,-0.6655048131942749
-0.6726595163345337,-0.6694796681404114
-0.7731040120124817,-0.6726595163345337
-0.7712302803993225,-0.7731040120124817
-0.7748317718505859,-0.7712302803993225
-0.7793336510658264,-0.7748317718505859
-0.7829349040985107,-0.7793336510658264
-0.8587606549263,-0.7829349040985107
-0.8636736869812012,-0.8587606549263
-0.8676038980484009,-0.8636736869812012
-0.8705514073371887,-0.8676038980484009
-0.8744814991950989,-0.8705514073371887
-0.8784113526344299,-0.8744814991950989
-0.9930347204208374,-0.8784113526344299
-0.9974545240402222,-0.9930347204208374
-0.9996643662452698,-0.9974545240402222
-1.002979040145874,-0.9996643662452698
-1.0051887035369873,-1.002979040145874
-1.0633149147033691,-1.0051887035369873
-1.0633149147033691,-1.0633149147033691
-1.0644819736480713,-1.0633149147033691
-1.0691498517990112,-1.0644819736480713
-1.0714837312698364,-1.0691498517990112
-1.3484917879104614,-1.0714837312698364
-1.3470228910446167,-1.3484917879104614
-1.3499605655670166,-1.3470228910446167
-1.3528982400894165,-1.3499605655670166
-1.3573042154312134,-1.3528982400894165
-1.5573174953460693,-1.3573042154312134
-1.5589995384216309,-1.5573174953460693
-1.562363624572754,-1.5589995384216309
-1.562363624572754,-1.562363624572754
-1.562363624572754,-1.562363624572754
-1.5640455484390259,-1.562363624572754
-1.7891957759857178,-1.5640455484390259
-1.791113257408142,-1.7891957759857178
-1.7930307388305664,-1.791113257408142
-1.7987827062606812,-1.7930307388305664
-1.8006999492645264,-1.7987827062606812
-2.0170812606811523,-1.8006999492645264
-2.0213654041290283,-2.0170812606811523
-2.0235073566436768,-2.0213654041290283
-2.0235073566436768,-2.0235073566436768
-2.0235073566436768,-2.0235073566436768
-2.4711484909057617,-2.0235073566436768
-2.473745346069336,-2.4711484909057617
-2.473745346069336,-2.473745346069336
-2.476341962814331,-2.473745346069336
-2.473745346069336,-2.476341962814331
-2.473745346069336,-2.473745346069336
-2.884892463684082,-2.473745346069336
-2.884892463684082,-2.884892463684082
-2.890901565551758,-2.884892463684082
-2.8939056396484375,-2.890901565551758
-2.8999130725860596,-2.8939056396484375
-3.1076269149780273,-2.8999130725860596
-3.110826253890991,-3.1076269149780273
-3.114025354385376,-3.110826253890991
-3.1076269149780273,-3.114025354385376
-3.1076269149780273,-3.1076269149780273
-3.464747428894043,-3.1076269149780273
